site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC,river_type,dipt_rich,dipt_fam_rich,dipt_abund,vec_fam_rich,vec_abund,Agricultural.areas_100m,Artificial.surfaces_100m,Forest.and.semi.natural.areas_100m,Water.bodies_100m,Wetlands_100m,Agricultural.areas_200m,Artificial.surfaces_200m,Forest.and.semi.natural.areas_200m,Water.bodies_200m,Wetlands_200m,Agricultural.areas_300m,Artificial.surfaces_300m,Forest.and.semi.natural.areas_300m,Water.bodies_300m,Wetlands_300m,ppt,q,tmax,tmin,ws
LTR1,LTR1_4.10.2010,LTR1_2010,4,10,2010,4/10/2010,54.0306,23.9684,Nemunas,river,N,,,4,3,3,74,1,11,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,68.16666667,18.05,10.84166667,3.109166667,3.204166667
LTR1,LTR1_3.10.2011,LTR1_2011,3,10,2011,3/10/2011,54.0306,23.9684,Nemunas,river,N,,,4,4,4,454,0,0,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,53.75,13.45,11.07583333,2.611666667,3.380833333
LTR1,LTR1_1.10.2012,LTR1_2012,1,10,2012,1/10/2012,54.0306,23.9684,Nemunas,river,N,,,4,6,6,331,0,0,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,46.225,5.6,11.49333333,3.260833333,3.346666667
LTR1,LTR1_7.10.2013,LTR1_2013,7,10,2013,7/10/2013,54.0306,23.9684,Nemunas,river,N,0.5714,Moderate,4,6,6,573,0,0,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,59.31666667,15.11666667,10.76,3.024166667,3.174166667
LTR1,LTR1_6.10.2014,LTR1_2014,6,10,2014,6/10/2014,54.0306,23.9684,Nemunas,river,N,0.54,Moderate,4,4,4,183,0,0,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,46.49166667,10.83333333,12.63333333,4.436666667,3.219166667
LTR1,LTR1_5.10.2015,LTR1_2015,5,10,2015,5/10/2015,54.0306,23.9684,Nemunas,river,N,0.81,High,4,5,5,199,1,30,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,39.80833333,5.891666667,12.52416667,3.921666667,3.23
LTR1,LTR1_3.10.2016,LTR1_2016,3,10,2016,3/10/2016,54.0306,23.9684,Nemunas,river,N,0.51,Moderate,4,4,4,1100,1,680,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,53.95,13.31666667,12.59166667,4.261666667,3.116666667
LTR1,LTR1_2.10.2017,LTR1_2017,2,10,2017,2/10/2017,54.0306,23.9684,Nemunas,river,N,0.63,Good,4,4,4,123,1,48,0,0,0,1,0,0,0.166666667,0.333333333,0.5,0,0,0.193548387,0.483870968,0.322580645,0,64.69166667,20.01666667,11.10833333,3.291666667,3.354166667
LTR1,LTR1_5.10.2020,LTR1_2020,5,10,2020,5/10/2020,54.0306,23.9684,Nemunas,river,N,0.54,Moderate,4,4,4,101,0,0,0,0,0,1,0,0,0,0.333333333,0.666666667,0,0,0.129032258,0.483870968,0.387096774,0,42.60833333,2.133333333,13.66666667,5.258333333,3.608333333
LTR1011,LTR1011_26.9.2013,LTR1011_2013,26,9,2013,26/9/2013,56.2103,24.4007,Lielupe,river,N,0.2857,Bad,1,3,3,525,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,51.725,15.25,10.745,3.215833333,2.723333333
LTR1011,LTR1011_3.10.2016,LTR1011_2016,3,10,2016,3/10/2016,56.2103,24.4007,Lielupe,river,HM,0.48,Moderate,1,4,4,21,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,50.35833333,9.608333333,11.83833333,4.61,2.734166667
LTR1013,LTR1013_8.10.2013,LTR1013_2013,8,10,2013,8/10/2013,56.16635395,24.75789643,Lielupe,river,N,1,High,1,3,3,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,58.93333333,17.65,10.52583333,2.668333333,2.765833333
LTR1013,LTR1013_28.9.2016,LTR1013_2016,28,9,2016,28/9/2016,56.16635395,24.75789643,Lielupe,river,N,0.53,Moderate,1,1,1,38,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,55.8,11.63333333,11.73666667,4.203333333,2.8625
LTR1013,LTR1013_2.10.2019,LTR1013_2019,2,10,2019,2/10/2019,56.16635395,24.75789643,Lielupe,river,N,0.47,Moderate,1,1,1,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,48.31666667,9.991666667,12,4.35,2.8
LTR1013,LTR1013_5.10.2022,LTR1013_2022,5,10,2022,5/10/2022,56.16635395,24.75789643,Lielupe,river,N,0.57,Moderate,1,4,3,62,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,55.31666667,14.09166667,11.46666667,3.566666667,3.091666667
LTR1019,LTR1019_4.10.2012,LTR1019_2012,4,10,2012,4/10/2012,55.93959493,24.5620452,Lielupe,river,HM,,,1,6,6,102,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,51.35,8.966666667,11.09833333,3.4375,3.220833333
LTR1019,LTR1019_1.10.2015,LTR1019_2015,1,10,2015,1/10/2015,55.93959493,24.5620452,Lielupe,river,HM,0.45,Moderate,1,3,3,12,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42.08333333,8.875,11.87333333,4.001666667,3.069166667
