site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTR1,LTR1_4.10.2010,LTR1_2010,4,10,2010,4/10/2010,54.0306,23.9684,Nemunas,river,N,,
LTR1,LTR1_3.10.2011,LTR1_2011,3,10,2011,3/10/2011,54.0306,23.9684,Nemunas,river,N,,
LTR1,LTR1_1.10.2012,LTR1_2012,1,10,2012,1/10/2012,54.0306,23.9684,Nemunas,river,N,,
LTR1,LTR1_7.10.2013,LTR1_2013,7,10,2013,7/10/2013,54.0306,23.9684,Nemunas,river,N,0.5714,Moderate
LTR1,LTR1_6.10.2014,LTR1_2014,6,10,2014,6/10/2014,54.0306,23.9684,Nemunas,river,N,0.54,Moderate
LTR1,LTR1_5.10.2015,LTR1_2015,5,10,2015,5/10/2015,54.0306,23.9684,Nemunas,river,N,0.81,High
LTR1,LTR1_3.10.2016,LTR1_2016,3,10,2016,3/10/2016,54.0306,23.9684,Nemunas,river,N,0.51,Moderate
LTR1,LTR1_2.10.2017,LTR1_2017,2,10,2017,2/10/2017,54.0306,23.9684,Nemunas,river,N,0.63,Good
LTR1,LTR1_5.10.2020,LTR1_2020,5,10,2020,5/10/2020,54.0306,23.9684,Nemunas,river,N,0.54,Moderate
LTR1011,LTR1011_26.9.2013,LTR1011_2013,26,9,2013,26/9/2013,56.2103,24.4007,Lielupe,river,N,0.2857,Bad
LTR1011,LTR1011_3.10.2016,LTR1011_2016,3,10,2016,3/10/2016,56.2103,24.4007,Lielupe,river,HM,0.48,Moderate
LTR1013,LTR1013_8.10.2013,LTR1013_2013,8,10,2013,8/10/2013,56.16635395,24.75789643,Lielupe,river,N,1,High
LTR1013,LTR1013_28.9.2016,LTR1013_2016,28,9,2016,28/9/2016,56.16635395,24.75789643,Lielupe,river,N,0.53,Moderate
LTR1013,LTR1013_2.10.2019,LTR1013_2019,2,10,2019,2/10/2019,56.16635395,24.75789643,Lielupe,river,N,0.47,Moderate
LTR1013,LTR1013_5.10.2022,LTR1013_2022,5,10,2022,5/10/2022,56.16635395,24.75789643,Lielupe,river,N,0.57,Moderate
LTR1019,LTR1019_4.10.2012,LTR1019_2012,4,10,2012,4/10/2012,55.93959493,24.5620452,Lielupe,river,HM,,
LTR1019,LTR1019_1.10.2015,LTR1019_2015,1,10,2015,1/10/2015,55.93959493,24.5620452,Lielupe,river,HM,0.45,Moderate
LTR1019,LTR1019_1.10.2019,LTR1019_2019,1,10,2019,1/10/2019,55.93959493,24.5620452,Lielupe,river,HM,0.56,Good
LTR1019,LTR1019_3.10.2022,LTR1019_2022,3,10,2022,3/10/2022,55.93959493,24.5620452,Lielupe,river,HM,0.54,Good
LTR1021,LTR1021_9.10.2012,LTR1021_2012,9,10,2012,9/10/2012,55.63720277,24.47654378,Nemunas,river,HM,,
