"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund","flow_m3.s","velocity_m.s","suspended_solids_mg.l","pH","temperature_C","oxygen_dissolved_mg.l","oxygen_saturation","BOD7_mg.l","ChDS_Cr_mg.l","NH4_N_mg.l","NO2_N_mg.l","NO3_N_mg.l","mineral_N_mg.l","total_N_mg.l","PO4_P_mg.l","total_P_mg.l","electrical_conductivity_mikroS.cm","alkalinity_mmol.l","Arable.land_2018_100m","Artificial..non.agricultural.vegetated.areas_2018_100m","Forests_2018_100m","Heterogeneous.agricultural.areas_2018_100m","Industrial..commercial.and.transport.units_2018_100m","Inland.waters_2018_100m","Inland.wetlands_2018_100m","Mine..dump.and.construction.sites_2018_100m","Open.spaces.with.little.or.no.vegetation_2018_100m","Pastures_2018_100m","Permanent.crops_2018_100m","Scrub.and.or.herbaceous.vegetation.associations_2018_100m","Urban.fabric_2018_100m"
"LTR1","LTR1_4.10.2010","LTR1_2010",4,10,2010,"2010-10-04",54.0306,23.9684,"Nemunas","river","N",4,3,3,74,1,1,11,248.916666666667,0.766666666666667,18.8333333333333,8.25,10.1583333333333,9.76666666666667,87.7874166666667,4.55,NA,0.151666666666667,0.0123333333333333,1.04,1.204,2.18333333333333,0.0435,0.10275,442.5,3.525,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_3.10.2011","LTR1_2011",3,10,2011,"2011-10-03",54.0306,23.9684,"Nemunas","river","N",4,4,4,454,0,0,0,220.75,0.776666666666667,15.0833333333333,8.21666666666667,10.1,10.1833333333333,89.9985833333333,4.08333333333333,30.5888888888889,0.141666666666667,0.01225,0.928333333333333,1.08225,2.325,0.03975,0.120333333333333,449,3.64166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_1.10.2012","LTR1_2012",1,10,2012,"2012-10-01",54.0306,23.9684,"Nemunas","river","N",4,6,6,331,0,0,0,168.416666666667,0.696666666666667,18.0833333333333,8.225,10.2916666666667,10.5666666666667,NA,4.2,29.75,0.15,0.0141666666666667,1.01583333333333,1.18975,2.04166666666667,0.0415833333333333,0.114166666666667,450.083333333333,3.80833333333333,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_7.10.2013","LTR1_2013",7,10,2013,"2013-10-07",54.0306,23.9684,"Nemunas","river","N",4,6,6,573,0,0,0,234.833333333333,0.789,14.25,8.10833333333333,9.76666666666667,10.1166666666667,86.799,3.16666666666667,30.0833333333333,0.134166666666667,0.01425,0.93875,1.08716666666667,1.575,0.046,0.0980833333333333,454.166666666667,3.58333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_6.10.2014","LTR1_2014",6,10,2014,"2014-10-06",54.0306,23.9684,"Nemunas","river","N",4,4,4,183,0,0,0,188.666666666667,0.7275,13.9166666666667,8.18333333333333,10.3166666666667,10.425,91.6788333333333,3.58333333333333,34.3333333333333,0.1325,0.01725,0.89,NA,1.475,0.04,0.116166666666667,455.75,3.55,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_5.10.2015","LTR1_2015",5,10,2015,"2015-10-05",54.0306,23.9684,"Nemunas","river","N",4,5,5,199,1,1,30,151.641666666667,0.693333333333333,13.0833333333333,8.23333333333333,9.63333333333333,10.8583333333333,92.8201666666667,3.48333333333333,28,0.13,0.01325,0.795833333333333,0.769625,1.43333333333333,0.0428333333333333,0.120166666666667,432.916666666667,3.43333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_3.10.2016","LTR1_2016",3,10,2016,"2016-10-03",54.0306,23.9684,"Nemunas","river","N",4,4,4,1100,1,1,680,173.208333333333,0.733333333333333,11.875,8.175,10.6166666666667,10.6333333333333,93.2268333333333,3.71666666666667,30.75,0.1425,0.0259166666666667,0.949166666666667,1.11758333333333,1.64166666666667,0.034,0.11675,453.916666666667,3.60833333333333,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_2.10.2017","LTR1_2017",2,10,2017,"2017-10-02",54.0306,23.9684,"Nemunas","river","N",4,4,4,123,1,1,48,254.808333333333,0.81,9.25,8.10833333333333,10.0833333333333,10.3166666666667,89.56075,3.35833333333333,32,0.144166666666667,0.0221666666666667,1.0575,1.22383333333333,1.83333333333333,0.0386666666666667,0.0975,448.75,3.65,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1","LTR1_5.10.2020","LTR1_2020",5,10,2020,"2020-10-05",54.0306,23.9684,"Nemunas","river","N",4,4,4,101,0,0,0,135.666666666667,0.64,8.125,8.20833333333333,10.2,11.0083333333333,94.9291666666667,3.775,29.6666666666667,0.1225,0.0161666666666667,1.0475,1.18616666666667,1.45833333333333,0.04575,0.0985833333333333,447.333333333333,2.95,0,0,0,0,0,1,0,0,0,0,0,0,0
"LTR1011","LTR1011_26.9.2013","LTR1011_2013",26,9,2013,"2013-09-26",56.2103,24.4007,"Lielupe","river","N",1,3,3,525,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
