Genus,Species,ID-fwe,fwe_code,Taxonname_1,Taxonname_2,Taxonname_3,code
Ablabesmyia,aspera,21286,Ablabesmyia_aspera;21286,Ablabesmyia,monilis,,Ablabesmyia_monilis
Ablabesmyia,aspera,21286,Ablabesmyia_aspera;21286,Ablabesmyia,sp.,,Ablabesmyia_sp.
Aedes,aegypti,18971,Aedes_aegypti;18971,Aedes,sp.,,Aedes_sp.
Alluaudomyia,bohemiae,18767,Alluaudomyia_bohemiae;18767,Alluaudomyia,sp.,,Alluaudomyia_sp.
Anopheles,algeriensis,7761,Anopheles_algeriensis;7761,Anopheles,sp.,,Anopheles_sp.
Athericidae,Gen._sp.,7750,Athericidae_Gen._sp.;7750,Athericidae,Gen.,sp.,Athericidae_Gen._sp.
Atherix,flavipes,10665,Atherix_flavipes;10665,Atherix,ibis,,Atherix_ibis
Atherix,flavipes,10665,Atherix_flavipes;10665,Atherix,sp.,,Atherix_sp.
Atrichops,crassipes,4374,Atrichops_crassipes;4374,Atrichops,crassipes,,Atrichops_crassipes
Atrichops,crassipes,4374,Atrichops_crassipes;4374,Atrichops,sp.,,Atrichops_sp.
Bezzia,affinis,10823,Bezzia_affinis;10823,Bezzia,sp.,,Bezzia_sp.
Brillia,bifida,4496,Brillia_bifida;4496,Brillia,sp.,,Brillia_sp.
Ceratopogonidae,Gen._sp.,4585,Ceratopogonidae_Gen._sp.;4585,Ceratopogonidae,Gen.,sp.,Ceratopogonidae_Gen._sp.
Chaoborus,crystallinus,4632,Chaoborus_crystallinus;4632,Chaoborus,crystallinus,,Chaoborus_crystallinus
Chaoborus,crystallinus,4632,Chaoborus_crystallinus;4632,Chaoborus,sp.,,Chaoborus_sp.
Chironomidae,Gen._sp.,4642,Chironomidae_Gen._sp.;4642,Chironomidae,Gen.,sp.,Chironomidae_Gen._sp.
Chironominae,Gen._sp.,4643,Chironominae_Gen._sp.;4643,Chironominae,Gen.,sp.,Chironominae_Gen._sp.
Chironomus,"""JDS2""",21869,"Chironomus_""JDS2"";21869",Chironomus,dorsalis,,Chironomus_dorsalis
Chironomus,"""JDS2""",21869,"Chironomus_""JDS2"";21869",Chironomus,plumosus,,Chironomus_plumosus
Chironomus,"""JDS2""",21869,"Chironomus_""JDS2"";21869",Chironomus,riparius,,Chironomus_riparius
Chironomus,"""JDS2""",21869,"Chironomus_""JDS2"";21869",Chironomus,sp.,,Chironomus_sp.
Chrysopilus,auratus,7311,Chrysopilus_auratus;7311,Chrysopilus,sp.,,Chrysopilus_sp.
Chrysops,caecutiens,14212,Chrysops_caecutiens;14212,Chrysops,sp.,,Chrysops_sp.
Clinotanypus,nervosus,4702,Clinotanypus_nervosus;4702,Clinotanypus,nervosus,,Clinotanypus_nervosus
Clinotanypus,nervosus,4702,Clinotanypus_nervosus;4702,Clinotanypus,sp.,,Clinotanypus_sp.
Cricotopus,albiforceps,4772,Cricotopus_albiforceps;4772,Cricotopus,sp.,,Cricotopus_sp.
Cricotopus,albiforceps,4772,Cricotopus_albiforceps;4772,Cricotopus,sylvestris,,Cricotopus_sylvestris
Cryptochironomus,albofasciatus,4819,Cryptochironomus_albofasciatus;4819,Cryptochironomus,defectus,,Cryptochironomus_defectus
Cryptochironomus,albofasciatus,4819,Cryptochironomus_albofasciatus;4819,Cryptochironomus,sp.,,Cryptochironomus_sp.
Culicidae,Gen._sp.,7726,Culicidae_Gen._sp.;7726,Culicidae,Gen.,sp.,Culicidae_Gen._sp.
Cylindrotomidae,Gen._sp.,9313,Cylindrotomidae_Gen._sp.;9313,Cylindrotomidae,Gen.,sp.,Cylindrotomidae_Gen._sp.
Diamesinae,Gen._sp.,4950,Diamesinae_Gen._sp.;4950,Diamesinae,Gen.,sp.,Diamesinae_Gen._sp.
Dicranota,bimaculata,7186,Dicranota_bimaculata;7186,Dicranota,bimaculata,,Dicranota_bimaculata
Dixa,dilatata,10368,Dixa_dilatata;10368,Dixa,sp.,,Dixa_sp.
Dixella,aestivalis,7313,Dixella_aestivalis;7313,Dixella,sp.,,Dixella_sp.
Dixidae,Gen._sp.,4990,Dixidae_Gen._sp.;4990,Dixidae,Gen.,sp.,Dixidae_Gen._sp.
Dolichopodidae,Gen._sp.,8427,Dolichopodidae_Gen._sp.;8427,Dolichopodidae,Gen.,sp.,Dolichopodidae_Gen._sp.
Eloeophila,apicata,13303,Eloeophila_apicata;13303,Eloeophila,sp.,,Eloeophila_sp.
Empididae,Gen._sp.,5097,Empididae_Gen._sp.;5097,Empididae,Gen.,sp.,Empididae_Gen._sp.
Endochironomus,albipennis,5103,Endochironomus_albipennis;5103,Endochironomus,sp.,,Endochironomus_sp.
Endochironomus,albipennis,5103,Endochironomus_albipennis;5103,Endochironomus,tendens,,Endochironomus_tendens
Ephydra,bivittata,17094,Ephydra_bivittata;17094,Ephydra,sp.,,Ephydra_sp.
Ephydridae,Gen._sp.,9599,Ephydridae_Gen._sp.;9599,Ephydridae,Gen.,sp.,Ephydridae_Gen._sp.
Hexatoma,bicolor,13314,Hexatoma_bicolor;13314,Hexatoma,sp.,,Hexatoma_sp.
Hybomitra,acuminata,22000,Hybomitra_acuminata;22000,Hybomitra,sp.,,Hybomitra_sp.
Limnophora,caesia,13465,Limnophora_caesia;13465,Limnophora,riparia,,Limnophora_riparia
Limnophora,caesia,13465,Limnophora_caesia;13465,Limnophora,sp.,,Limnophora_sp.
Limoniidae,Gen._sp.,8483,Limoniidae_Gen._sp.;8483,Limoniidae,Gen.,sp.,Limoniidae_Gen._sp.
Micropsectra,"""sterkselsee_Aa""",10967,"Micropsectra_""sterkselsee_Aa"";10967",Micropsectra,sp.,,Micropsectra_sp.
Microtendipes,brevitarsis,15702,Microtendipes_brevitarsis;15702,Microtendipes,chloris,,Microtendipes_chloris
Muscidae,Gen._sp.,8659,Muscidae_Gen._sp.;8659,Muscidae,Gen.,sp.,Muscidae_Gen._sp.
Nemotelus,argentifer,14116,Nemotelus_argentifer;14116,Nemotelus,sp.,,Nemotelus_sp.
Notiphila,annulipes,12286,Notiphila_annulipes;12286,Notiphila,riparia,,Notiphila_riparia
Odontomyia,angulata,14136,Odontomyia_angulata;14136,Odontomyia,sp.,,Odontomyia_sp.
Oplodontha,sp.,14143,Oplodontha_sp.;14143,Oplodontha,viridula,,Oplodontha_viridula
Orthocladiinae,Gen._sp.,6208,Orthocladiinae_Gen._sp.;6208,Orthocladiinae,Gen.,sp.,Orthocladiinae_Gen._sp.
Palpomyia,armata,10846,Palpomyia_armata;10846,Palpomyia,sp.,,Palpomyia_sp.
Pedicia,arctica,15864,Pedicia_arctica;15864,Pedicia,sp.,,Pedicia_sp.
Pericoma,alticola,13832,Pericoma_alticola;13832,Pericoma,blandula,,Pericoma_blandula
Pericoma,alticola,13832,Pericoma_alticola;13832,Pericoma,sp.,,Pericoma_sp.
Pilaria,decolor,13338,Pilaria_decolor;13338,Pilaria,sp.,,Pilaria_sp.
Polypedilum,acifer,8079,Polypedilum_acifer;8079,Polypedilum,exsectum,,Polypedilum_exsectum
Polypedilum,acifer,8079,Polypedilum_acifer;8079,Polypedilum,sp.,,Polypedilum_sp.
Probezzia,seminigra,10869,Probezzia_seminigra;10869,Probezzia,sp.,,Probezzia_sp.
Procladius,appropinquatus,15959,Procladius_appropinquatus;15959,Procladius,ferrugineus,,Procladius_ferrugineus
Procladius,appropinquatus,15959,Procladius_appropinquatus;15959,Procladius,sp.,,Procladius_sp.
Prodiamesa,bureschi,20607,Prodiamesa_bureschi;20607,Prodiamesa,olivacea,,Prodiamesa_olivacea
Psectrocladius,barbatipes,11077,Psectrocladius_barbatipes;11077,Psectrocladius,sp.,,Psectrocladius_sp.
Psectrotanypus,pictipennis,20709,Psectrotanypus_pictipennis;20709,Psectrotanypus,sp.,,Psectrotanypus_sp.
Psychoda,albipennis,13860,Psychoda_albipennis;13860,Psychoda,pusilla,,Psychoda_pusilla
Psychoda,albipennis,13860,Psychoda_albipennis;13860,Psychoda,sp.,,Psychoda_sp.
Psychodidae,Gen._sp.,8753,Psychodidae_Gen._sp.;8753,Psychodidae,Gen.,sp.,Psychodidae_Gen._sp.
Ptychoptera,albimana,7309,Ptychoptera_albimana;7309,Ptychoptera,paludosa,,Ptychoptera_paludosa
Ptychoptera,albimana,7309,Ptychoptera_albimana;7309,Ptychoptera,sp.,,Ptychoptera_sp.
Sergentia,albescens,16030,Sergentia_albescens;16030,Sergentia,coracina,,Sergentia_coracina
Serromyia,atra,10786,Serromyia_atra;10786,Serromyia,sp.,,Serromyia_sp.
Simuliidae,Gen._sp.,6842,Simuliidae_Gen._sp.;6842,Simuliidae,Gen.,sp.,Simuliidae_Gen._sp.
Simulium,angustatum,14077,Simulium_angustatum;14077,Simulium,sp.,,Simulium_sp.
Stratiomyidae,Gen._sp.,8761,Stratiomyidae_Gen._sp.;8761,Stratiomyidae,Gen.,sp.,Stratiomyidae_Gen._sp.
Stratiomys,cenisia,14145,Stratiomys_cenisia;14145,Stratiomys,sp.,,Stratiomys_sp.
Synendotendipes,abranchius,20582,Synendotendipes_abranchius;20582,Synendotendipes,impar,,Synendotendipes_impar
Syrphidae,Gen._sp.,9322,Syrphidae_Gen._sp.;9322,Syrphidae,Gen.,sp.,Syrphidae_Gen._sp.
Tabanidae,Gen._sp.,8485,Tabanidae_Gen._sp.;8485,Tabanidae,Gen.,sp.,Tabanidae_Gen._sp.
